# theta(rad)  log10(N_S)  adv_dB
0.157080  0.958333  1.66750710
0.157080  1.000000  1.67414163
0.157080  1.041667  1.68021572
0.157080  1.083333  1.68577296
0.157080  1.125000  1.69085418
0.157080  1.166667  1.69549752
0.157080  1.208333  1.69973853
0.157080  1.250000  1.70361023
0.157080  1.291667  1.70714326
0.157080  1.333333  1.71036597
0.157080  1.375000  1.71330456
0.157080  1.416667  1.71598320
0.157080  1.458333  1.71842417
0.157080  1.500000  1.72064793
0.157080  1.541667  1.72267332
0.157080  1.583333  1.72451761
0.157080  1.625000  1.72619666
0.157080  1.666667  1.72772498
0.157080  1.708333  1.72911586
0.157080  1.750000  1.73038147
0.157080  1.791667  1.73153293
0.157080  1.833333  1.73258039
0.157080  1.875000  1.73353315
0.157080  1.916667  1.73439966
0.157080  1.958333  1.73518767
0.157080  2.000000  1.73590421

0.209440  -3.000000  0.00423749
0.209440  -2.958333  0.00466302
0.209440  -2.916667  0.00513115
0.209440  -2.875000  0.00564611
0.209440  -2.833333  0.00621258
0.209440  -2.791667  0.00683564
0.209440  -2.750000  0.00752092
0.209440  -2.708333  0.00827456
0.209440  -2.666667  0.00910331
0.209440  -2.625000  0.01001459
0.209440  -2.583333  0.01101649
0.209440  -2.541667  0.01211791
0.209440  -2.500000  0.01332858
0.209440  -2.458333  0.01465917
0.209440  -2.416667  0.01612132
0.209440  -2.375000  0.01772779
0.209440  -2.333333  0.01949249
0.209440  -2.291667  0.02143063
0.209440  -2.250000  0.02355879
0.209440  -2.208333  0.02589505
0.209440  -2.166667  0.02845907
0.209440  -2.125000  0.03127224
0.209440  -2.083333  0.03435781
0.209440  -2.041667  0.03774098
0.209440  -2.000000  0.04144904
0.209440  -1.958333  0.04551149
0.209440  -1.916667  0.04996017
0.209440  -1.875000  0.05482938
0.209440  -1.833333  0.06015594
0.209440  -1.791667  0.06597934
0.209440  -1.750000  0.07234175
0.209440  -1.708333  0.07928810
0.209440  -1.666667  0.08686609
0.209440  -1.625000  0.09512611
0.209440  -1.583333  0.10412124
0.209440  -1.541667  0.11390700
0.209440  -1.500000  0.12454124
0.209440  -1.458333  0.13608377
0.209440  -1.416667  0.14859599
0.209440  -1.375000  0.16214041
0.209440  -1.333333  0.17677998
0.209440  -1.291667  0.19257739
0.209440  -1.250000  0.20959418
0.209440  -1.208333  0.22788969
0.209440  -1.166667  0.24751992
0.209440  -1.125000  0.26853621
0.209440  -1.083333  0.29098385
0.209440  -1.041667  0.31490050
0.209440  -1.000000  0.34031463
0.209440  -0.958333  0.36724386
0.209440  -0.916667  0.39569334
0.209440  -0.875000  0.42565422
0.209440  -0.833333  0.45710218
0.209440  -0.791667  0.48999629
0.209440  -0.750000  0.52427803
0.209440  -0.708333  0.55987079
0.209440  -0.666667  0.59667964
0.209440  -0.625000  0.63459172
0.209440  -0.583333  0.67347708
0.209440  -0.541667  0.71319000
0.209440  -0.500000  0.75357090
0.209440  -0.458333  0.79444868
0.209440  -0.416667  0.83564351
0.209440  -0.375000  0.87696986
0.209440  -0.333333  0.91823985
0.209440  -0.291667  0.95926662
0.209440  -0.250000  0.99986765
0.209440  -0.208333  1.03986801
0.209440  -0.166667  1.07910318
0.209440  -0.125000  1.11742165
0.209440  -0.083333  1.15468696
0.209440  -0.041667  1.19077925
0.209440  0.000000  1.22559638
0.209440  0.041667  1.25905437
0.209440  0.083333  1.29108749
0.209440  0.125000  1.32164788
0.209440  0.166667  1.35070468
0.209440  0.208333  1.37824301
0.209440  0.250000  1.40426259
0.209440  0.291667  1.42877624
0.209440  0.333333  1.45180828
0.209440  0.375000  1.47339289
0.209440  0.416667  1.49357248
0.209440  0.458333  1.51239614
0.209440  0.500000  1.52991818
0.209440  0.541667  1.54619675
0.209440  0.583333  1.56129264
0.209440  0.625000  1.57526818
0.209440  0.666667  1.58818632
0.209440  0.708333  1.60010984
0.209440  0.750000  1.61110063
0.209440  0.791667  1.62121921
